"phen_pois" "cofactor" "phylo" "obs"
"1" 1 7.87028302904218 "sp_1" 1
"2" 0 3.46905293408781 "sp_2" 2
"3" 1 2.54787739366293 "sp_3" 3
"4" 14 18.2286628056318 "sp_4" 4
"5" 1 2.53028055187315 "sp_5" 5
"6" 1 0.51455594599247 "sp_6" 6
"7" 18 19.8668561177328 "sp_7" 7
"8" 0 10.2536125574261 "sp_8" 8
"9" 0 14.9731568619609 "sp_9" 9
"10" 8 17.9374387208372 "sp_10" 10
"11" 1 3.23564750142395 "sp_11" 11
"12" 1 4.25279097631574 "sp_12" 12
"13" 0 2.92220457457006 "sp_13" 13
"14" 0 1.61896539852023 "sp_14" 14
"15" 3 13.0925463140011 "sp_15" 15
"16" 0 5.8281384408474 "sp_16" 16
"17" 4 10.9566866233945 "sp_17" 17
"18" 1 9.46091731078923 "sp_18" 18
"19" 1 10.6700000725687 "sp_19" 19
"20" 0 2.00643964577466 "sp_20" 20
"21" 1 9.08781947568059 "sp_21" 21
"22" 11 17.9819278931245 "sp_22" 22
"23" 1 8.82760248612612 "sp_23" 23
"24" 12 17.8168223798275 "sp_24" 24
"25" 0 9.11590400151908 "sp_25" 25
"26" 6 13.6075812391937 "sp_26" 26
"27" 13 19.6307200938463 "sp_27" 27
"28" 0 1.95862791966647 "sp_28" 28
"29" 4 12.0503573399037 "sp_29" 29
"30" 3 12.2442053910345 "sp_30" 30
"31" 7 14.9345963820815 "sp_31" 31
"32" 8 15.8232712093741 "sp_32" 32
"33" 15 17.0165579207242 "sp_33" 33
"34" 8 11.6763724898919 "sp_34" 34
"35" 2 1.0804709745571 "sp_35" 35
"36" 0 6.43376909196377 "sp_36" 36
"37" 0 1.79010709747672 "sp_37" 37
"38" 14 19.0130681172013 "sp_38" 38
"39" 1 7.43294113315642 "sp_39" 39
"40" 0 5.03316869959235 "sp_40" 40
"41" 1 10.2835537539795 "sp_41" 41
"42" 10 14.5599096501246 "sp_42" 42
"43" 0 10.9937429893762 "sp_43" 43
"44" 9 17.9595694737509 "sp_44" 44
"45" 1 13.7781675904989 "sp_45" 45
"46" 0 9.65458589140326 "sp_46" 46
"47" 0 7.96876311302185 "sp_47" 47
"48" 0 11.822388456203 "sp_48" 48
"49" 0 1.17342579178512 "sp_49" 49
"50" 6 15.3492880659178 "sp_50" 50
"51" 2 12.383923525922 "sp_51" 51
"52" 2 7.13269806932658 "sp_52" 52
"53" 19 18.4212206443772 "sp_53" 53
"54" 3 9.10423366352916 "sp_54" 54
"55" 0 4.50475075282156 "sp_55" 55
"56" 8 17.5070152105764 "sp_56" 56
"57" 1 14.0715354448184 "sp_57" 57
"58" 1 8.54765433818102 "sp_58" 58
"59" 0 0.602433918975294 "sp_59" 59
"60" 1 12.9115081205964 "sp_60" 60
"61" 0 2.16470542829484 "sp_61" 61
"62" 3 10.8175301225856 "sp_62" 62
"63" 0 13.9088897733018 "sp_63" 63
"64" 1 13.4087270870805 "sp_64" 64
"65" 10 17.4300276767462 "sp_65" 65
"66" 2 12.9268132383004 "sp_66" 66
"67" 5 15.0284132361412 "sp_67" 67
"68" 3 16.39080026187 "sp_68" 68
"69" 2 13.1584308855236 "sp_69" 69
"70" 0 6.11105283722281 "sp_70" 70
"71" 0 6.71635756269097 "sp_71" 71
"72" 14 17.8809959255159 "sp_72" 72
"73" 0 0.963065698742867 "sp_73" 73
"74" 14 19.6639204397798 "sp_74" 74
"75" 0 9.35570646543056 "sp_75" 75
"76" 0 3.41497595887631 "sp_76" 76
"77" 0 4.19924180954695 "sp_77" 77
"78" 1 8.70385596994311 "sp_78" 78
"79" 0 4.02473593130708 "sp_79" 79
"80" 5 15.524102547206 "sp_80" 80
"81" 2 8.24879810214043 "sp_81" 81
"82" 6 13.4653527382761 "sp_82" 82
"83" 2 15.2973749814555 "sp_83" 83
"84" 19 19.7170301293954 "sp_84" 84
"85" 0 0.0597144290804863 "sp_85" 85
"86" 2 9.51565641909838 "sp_86" 86
"87" 0 4.2223764769733 "sp_87" 87
"88" 3 12.21704242751 "sp_88" 88
"89" 14 17.6155198831111 "sp_89" 89
"90" 6 16.2743572192267 "sp_90" 90
"91" 3 13.3777397451922 "sp_91" 91
"92" 11 15.0837030215189 "sp_92" 92
"93" 0 0.88664791546762 "sp_93" 93
"94" 12 18.1392788793892 "sp_94" 94
"95" 1 10.3573824511841 "sp_95" 95
"96" 8 15.6129121407866 "sp_96" 96
"97" 0 7.05775657203048 "sp_97" 97
"98" 0 9.83460870105773 "sp_98" 98
"99" 0 0.814184607006609 "sp_99" 99
"100" 0 1.40055054333061 "sp_100" 100
"101" 1 1.37567003723234 "sp_101" 101
"102" 2 15.6567617040128 "sp_102" 102
"103" 0 5.47710913233459 "sp_103" 103
"104" 4 17.7315682778135 "sp_104" 104
"105" 7 12.737676021643 "sp_105" 105
"106" 0 3.87756805401295 "sp_106" 106
"107" 18 19.6574379131198 "sp_107" 107
"108" 7 18.0909407651052 "sp_108" 108
"109" 1 6.32461491040885 "sp_109" 109
"110" 0 5.24901015684009 "sp_110" 110
